"Handle","Title","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Metafield: product.color [list.single_line_text_field]","Metafield: product.size [list.single_line_text_field]","Metafield: product.fabric [single_line_text_field]","Metafield: product.age_group [single_line_text_field]","Metafield: product.target_gender [single_line_text_field]","Metafield: product.clothing_features [multi_line_text_field]"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","Size","12","Color","White","CROCHET-FOLDOVER-SRT-WHT-12","[White]","[12]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","Size","14","Color","White","CROCHET-FOLDOVER-SRT-WHT-14","[White]","[14]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","Size","16","Color","White","CROCHET-FOLDOVER-SRT-WHT-16","[White]","[16]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","","Size","","Color","white","","[White]","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","","Size","","Color","white","","[White]","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","","Size","","Color","white","","[White]","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","","Size","","Color","white","","[White]","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","","Size","","Color","white","","[White]","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","","Size","","Color","white","","[White]","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-black-white","","Size","","Color","white","","[White]","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - blueberry cream","Size","4","Color","Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-4","[White]","[4]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - blueberry cream","Size","6","Color","Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-6","[White]","[6]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - blueberry cream","Size","8","Color","Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-8","[White]","[8]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - blueberry cream","Size","10","Color","Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-10","[White]","[10]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - blueberry cream","Size","12","Color","Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-12","[White]","[12]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - blueberry cream","Size","14","Color","Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-14","[White]","[14]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-blueberry-cream","","Size","","Color","cream","","[White]","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-blueberry-cream","","Size","","Color","cream","","[White]","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-blueberry-cream","","Size","","Color","cream","","[White]","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-blueberry-cream","","Size","","Color","cream","","[White]","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-blueberry-cream","","Size","","Color","cream","","[White]","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-blueberry-cream","","Size","","Color","cream","","[White]","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-cherry-swirl","The crochet foldover shorts - cherry swirl","Size","4","Color","Cherry Swirl","CROCHET-FOLDOVER-SRT-SWI-4","","[4]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-cherry-swirl","The crochet foldover shorts - cherry swirl","Size","6","Color","Cherry Swirl","CROCHET-FOLDOVER-SRT-SWI-6","","[6]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-cherry-swirl","The crochet foldover shorts - cherry swirl","Size","8","Color","Cherry Swirl","CROCHET-FOLDOVER-SRT-SWI-8","","[8]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-cherry-swirl","The crochet foldover shorts - cherry swirl","Size","10","Color","Cherry Swirl","CROCHET-FOLDOVER-SRT-SWI-10","","[10]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-cherry-swirl","The crochet foldover shorts - cherry swirl","Size","12","Color","Cherry Swirl","CROCHET-FOLDOVER-SRT-SWI-12","","[12]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-cherry-swirl","The crochet foldover shorts - cherry swirl","Size","14","Color","Cherry Swirl","CROCHET-FOLDOVER-SRT-SWI-14","","[14]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-cherry-swirl","","Size","","Color","swirl","","","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-cherry-swirl","","Size","","Color","swirl","","","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-cherry-swirl","","Size","","Color","swirl","","","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-cherry-swirl","","Size","","Color","swirl","","","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-cherry-swirl","","Size","","Color","swirl","","","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-cherry-swirl","","Size","","Color","swirl","","","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-cherry-swirl","","Size","","Color","swirl","","","","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - lemon sorbet","Size","4","Color","Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-4","[Yellow]","[4]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - lemon sorbet","Size","6","Color","Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-6","[Yellow]","[6]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - lemon sorbet","Size","8","Color","Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-8","[Yellow]","[8]","Crochet","Adult","Female",""
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - lemon sorbet","Size","10","Color","Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-10","[Yellow]","[10]","Crochet","Adult","Female",""
