"Handle","Title","Status","Variant ID","Variant Title","Variant SKU","Variant Price","Variant Inventory Qty","Option1 Name","Option1 Value","Option2 Name","Option2 Value"
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","active",56604623995266,"8 / Blue & Purple Floral","COWL-MAXI-GEN-FLO-8","38.00",0,"Size","8","Color","Blue & Purple Floral"
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","active",56604624028034,"10 / Blue & Purple Floral","COWL-MAXI-GEN-FLO-10","38.00",14,"Size","10","Color","Blue & Purple Floral"
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","active",56604624060802,"12 / Blue & Purple Floral","COWL-MAXI-GEN-FLO-12","38.00",3,"Size","12","Color","Blue & Purple Floral"
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","active",56604624093570,"14 / Blue & Purple Floral","COWL-MAXI-GEN-FLO-14","38.00",3,"Size","14","Color","Blue & Purple Floral"
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","active",56604624126338,"4 / Yellow & Brown Floral","COWL-MAXI-GEN-FLO-4-1","38.00",0,"Size","4","Color","Yellow & Brown Floral"
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","active",56604624159106,"6 / Yellow & Brown Floral","COWL-MAXI-GEN-FLO-6-1","38.00",0,"Size","6","Color","Yellow & Brown Floral"
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","active",56604624191874,"8 / Yellow & Brown Floral","COWL-MAXI-GEN-FLO-8-1","38.00",0,"Size","8","Color","Yellow & Brown Floral"
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","active",56604624224642,"10 / Yellow & Brown Floral","COWL-MAXI-GEN-FLO-10-1","38.00",0,"Size","10","Color","Yellow & Brown Floral"
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","active",56604624257410,"12 / Yellow & Brown Floral","COWL-MAXI-GEN-FLO-12-1","38.00",0,"Size","12","Color","Yellow & Brown Floral"
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","active",56604624290178,"14 / Yellow & Brown Floral","COWL-MAXI-GEN-FLO-14-1","38.00",1,"Size","14","Color","Yellow & Brown Floral"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","active",56604624454018,"4 / White","CROCHET-FOLDOVER-SRT-WHT-4","26.00",0,"Size","4","Color","White"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","active",56604624486786,"6 / White","CROCHET-FOLDOVER-SRT-WHT-6","26.00",14,"Size","6","Color","White"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","active",56604624519554,"8 / White","CROCHET-FOLDOVER-SRT-WHT-8","26.00",10,"Size","8","Color","White"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","active",56604624552322,"10 / White","CROCHET-FOLDOVER-SRT-WHT-10","26.00",0,"Size","10","Color","White"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","active",56604624585090,"12 / White","CROCHET-FOLDOVER-SRT-WHT-12","26.00",0,"Size","12","Color","White"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","active",56604624617858,"14 / White","CROCHET-FOLDOVER-SRT-WHT-14","26.00",4,"Size","14","Color","White"
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","active",56604624650626,"16 / White","CROCHET-FOLDOVER-SRT-WHT-16","26.00",4,"Size","16","Color","White"
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - blueberry cream","active",56592345727362,"4 / Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-4","28.00",19,"Size","4","Color","Blueberry Cream"
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - blueberry cream","active",56592345760130,"6 / Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-6","28.00",26,"Size","6","Color","Blueberry Cream"
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - blueberry cream","active",56592345792898,"8 / Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-8","28.00",25,"Size","8","Color","Blueberry Cream"
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - blueberry cream","active",56592345825666,"10 / Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-10","28.00",18,"Size","10","Color","Blueberry Cream"
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - blueberry cream","active",56592345858434,"12 / Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-12","28.00",9,"Size","12","Color","Blueberry Cream"
"the-crochet-foldover-shorts-blueberry-cream","The crochet foldover shorts - blueberry cream","active",56592345891202,"14 / Blueberry Cream","CROCHET-FOLDOVER-SRT-CRE-14","28.00",10,"Size","14","Color","Blueberry Cream"
"the-crochet-foldover-shorts-cherry-swirl","The crochet foldover shorts - cherry swirl","active",56592347300226,"4 / Cherry Swirl","CROCHET-FOLDOVER-SRT-SWI-4","28.00",20,"Size","4","Color","Cherry Swirl"
"the-crochet-foldover-shorts-cherry-swirl","The crochet foldover shorts - cherry swirl","active",56592347332994,"6 / Cherry Swirl","CROCHET-FOLDOVER-SRT-SWI-6","28.00",28,"Size","6","Color","Cherry Swirl"
"the-crochet-foldover-shorts-cherry-swirl","The crochet foldover shorts - cherry swirl","active",56592347365762,"8 / Cherry Swirl","CROCHET-FOLDOVER-SRT-SWI-8","28.00",24,"Size","8","Color","Cherry Swirl"
"the-crochet-foldover-shorts-cherry-swirl","The crochet foldover shorts - cherry swirl","active",56592347398530,"10 / Cherry Swirl","CROCHET-FOLDOVER-SRT-SWI-10","28.00",18,"Size","10","Color","Cherry Swirl"
"the-crochet-foldover-shorts-cherry-swirl","The crochet foldover shorts - cherry swirl","active",56592347431298,"12 / Cherry Swirl","CROCHET-FOLDOVER-SRT-SWI-12","28.00",10,"Size","12","Color","Cherry Swirl"
"the-crochet-foldover-shorts-cherry-swirl","The crochet foldover shorts - cherry swirl","active",56592347464066,"14 / Cherry Swirl","CROCHET-FOLDOVER-SRT-SWI-14","28.00",10,"Size","14","Color","Cherry Swirl"
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - lemon sorbet","active",55082790224258,"4 / Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-4","26.00",0,"Size","4","Color","Lemon Sorbet"
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - lemon sorbet","active",55082790257026,"6 / Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-6","26.00",0,"Size","6","Color","Lemon Sorbet"
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - lemon sorbet","active",55082790289794,"8 / Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-8","26.00",0,"Size","8","Color","Lemon Sorbet"
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - lemon sorbet","active",55082790322562,"10 / Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-10","26.00",0,"Size","10","Color","Lemon Sorbet"
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - lemon sorbet","active",55082790355330,"12 / Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-12","26.00",7,"Size","12","Color","Lemon Sorbet"
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - lemon sorbet","active",55082790388098,"14 / Lemon Sorbet","CROCHET-FOLDOVER-SRT-SOR-14","26.00",3,"Size","14","Color","Lemon Sorbet"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","active",55082747953538,"4 / Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-4","26.00",0,"Size","4","Color","Mocha Melt"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","active",55082747986306,"6 / Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-6","26.00",0,"Size","6","Color","Mocha Melt"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","active",55082748019074,"8 / Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-8","26.00",0,"Size","8","Color","Mocha Melt"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","active",55082748051842,"10 / Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-10","26.00",0,"Size","10","Color","Mocha Melt"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","active",55082748084610,"12 / Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-12","26.00",8,"Size","12","Color","Mocha Melt"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","active",55082748117378,"14 / Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-14","26.00",3,"Size","14","Color","Mocha Melt"
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","active",55082748150146,"16 / Mocha Melt","CROCHET-FOLDOVER-SRT-MEL-16","26.00",0,"Size","16","Color","Mocha Melt"
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - strawberry sorbet","active",55438001013122,"4 / Strawberry Sorbet","CROCHET-FOLDOVER-SRT-SOR-4-1","26.00",0,"Size","4","Color","Strawberry Sorbet"
