"Handle","Title","Color (product.metafields.shopify.color-pattern)"
"the-crochet-tan-bikini-top-strawberry-sorbet","The crochet tan bikini top - strawberry sorbet",""
"the-wide-band-bikini-bottoms-black-white-crochet","The crochet wide band bikini bottoms - black & white",""
"the-wide-band-bikini-bottoms-black-white-crochet","The crochet wide band bikini bottoms - black & white",""
"the-wide-band-bikini-bottoms-black-white-crochet","The crochet wide band bikini bottoms - black & white",""
"the-wide-band-bikini-bottoms-black-white-crochet","The crochet wide band bikini bottoms - black & white",""
"the-wide-band-bikini-bottoms-black-white-crochet","The crochet wide band bikini bottoms - black & white",""
"the-wide-band-bikini-bottoms-black-white-crochet","The crochet wide band bikini bottoms - black & white",""
"the-wide-band-bikini-bottoms-black-white-crochet","The crochet wide band bikini bottoms - black & white",""
"the-crochet-wide-band-bikini-bottoms-lemon-sorbet","The crochet wide band bikini bottoms - lemon sorbet",""
"the-crochet-wide-band-bikini-bottoms-lemon-sorbet","The crochet wide band bikini bottoms - lemon sorbet",""
"the-crochet-wide-band-bikini-bottoms-lemon-sorbet","The crochet wide band bikini bottoms - lemon sorbet",""
"the-crochet-wide-band-bikini-bottoms-lemon-sorbet","The crochet wide band bikini bottoms - lemon sorbet",""
"the-crochet-wide-band-bikini-bottoms-lemon-sorbet","The crochet wide band bikini bottoms - lemon sorbet",""
"the-crochet-wide-band-bikini-bottoms-lemon-sorbet","The crochet wide band bikini bottoms - lemon sorbet",""
"the-crochet-wide-band-bikini-bottoms-mocha-melt","The crochet wide band bikini bottoms - mocha melt",""
"the-crochet-wide-band-bikini-bottoms-mocha-melt","The crochet wide band bikini bottoms - mocha melt",""
"the-crochet-wide-band-bikini-bottoms-mocha-melt","The crochet wide band bikini bottoms - mocha melt",""
"the-crochet-wide-band-bikini-bottoms-mocha-melt","The crochet wide band bikini bottoms - mocha melt",""
"the-crochet-wide-band-bikini-bottoms-mocha-melt","The crochet wide band bikini bottoms - mocha melt",""
"the-crochet-wide-band-bikini-bottoms-mocha-melt","The crochet wide band bikini bottoms - mocha melt",""
"the-crochet-wide-band-bikini-bottoms-strawberry-sorbet","The crochet wide band bikini bottoms - strawberry sorbet",""
"the-crochet-wide-band-bikini-bottoms-strawberry-sorbet","The crochet wide band bikini bottoms - strawberry sorbet",""
