"Handle","Title","Color (product.metafields.shopify.color-pattern)"
"the-crochet-tan-bikini-top-mocha-melt","The crochet tan bikini top -  mocha melt",""
"the-crochet-tan-bikini-top-mocha-melt","The crochet tan bikini top -  mocha melt",""
"the-crochet-tan-bikini-top-black-white","The crochet tan bikini top - black & white",""
"the-crochet-tan-bikini-top-black-white","The crochet tan bikini top - black & white",""
"the-crochet-tan-bikini-top-black-white","The crochet tan bikini top - black & white",""
"the-crochet-tan-bikini-top-black-white","The crochet tan bikini top - black & white",""
"the-crochet-tan-bikini-top-black-white","The crochet tan bikini top - black & white",""
"the-crochet-tan-bikini-top-black-white","The crochet tan bikini top - black & white",""
"the-crochet-tan-bikini-top-black-white","The crochet tan bikini top - black & white",""
"the-crochet-tan-bikini-top-blueberry-cream","The crochet tan bikini top - blueberry cream",""
"the-crochet-tan-bikini-top-blueberry-cream","The crochet tan bikini top - blueberry cream",""
"the-crochet-tan-bikini-top-blueberry-cream","The crochet tan bikini top - blueberry cream",""
"the-crochet-tan-bikini-top-blueberry-cream","The crochet tan bikini top - blueberry cream",""
"the-crochet-tan-bikini-top-blueberry-cream","The crochet tan bikini top - blueberry cream",""
"the-crochet-tan-bikini-top-blueberry-cream","The crochet tan bikini top - blueberry cream",""
"the-crochet-tan-bikini-top-cherry-blush","The crochet tan bikini top - cherry swirl",""
"the-crochet-tan-bikini-top-cherry-blush","The crochet tan bikini top - cherry swirl",""
"the-crochet-tan-bikini-top-cherry-blush","The crochet tan bikini top - cherry swirl",""
"the-crochet-tan-bikini-top-cherry-blush","The crochet tan bikini top - cherry swirl",""
"the-crochet-tan-bikini-top-cherry-blush","The crochet tan bikini top - cherry swirl",""
"the-crochet-tan-bikini-top-cherry-blush","The crochet tan bikini top - cherry swirl",""
"the-crochet-tan-bikini-top-lemon-sorbet","The crochet tan bikini top - lemon sorbet",""
"the-crochet-tan-bikini-top-lemon-sorbet","The crochet tan bikini top - lemon sorbet",""
"the-crochet-tan-bikini-top-lemon-sorbet","The crochet tan bikini top - lemon sorbet",""
"the-crochet-tan-bikini-top-lemon-sorbet","The crochet tan bikini top - lemon sorbet",""
"the-crochet-tan-bikini-top-lemon-sorbet","The crochet tan bikini top - lemon sorbet",""
"the-crochet-tan-bikini-top-lemon-sorbet","The crochet tan bikini top - lemon sorbet",""
"the-crochet-tan-bikini-top-strawberry-sorbet","The crochet tan bikini top - strawberry sorbet",""
"the-crochet-tan-bikini-top-strawberry-sorbet","The crochet tan bikini top - strawberry sorbet",""
"the-crochet-tan-bikini-top-strawberry-sorbet","The crochet tan bikini top - strawberry sorbet",""
"the-crochet-tan-bikini-top-strawberry-sorbet","The crochet tan bikini top - strawberry sorbet",""
"the-crochet-tan-bikini-top-strawberry-sorbet","The crochet tan bikini top - strawberry sorbet",""
