"Handle","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Inventory Qty","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service"
"the-lace-maxi-skirt-white-floral","Size","8","Color","Floral","MAXI-SKT-FLO-8-1",4,"shopify","deny","manual"
"the-lace-maxi-skirt-white-floral","Size","10","Color","Floral","MAXI-SKT-FLO-10-1",7,"shopify","deny","manual"
"the-lace-maxi-skirt-white-floral","Size","12","Color","Floral","MAXI-SKT-FLO-12-1",8,"shopify","deny","manual"
"the-lace-maxi-skirt-white-floral","Size","14","Color","Floral","MAXI-SKT-FLO-14-1",7,"shopify","deny","manual"
"the-lace-maxi-skirt-white-floral","Size","16","Color","Floral","MAXI-SKT-FLO-16-1",8,"shopify","deny","manual"
"the-lace-trim-bikini-bottoms-blue-floral","Size","XS (4-6)","Color","Floral","TRIM-BOTTOMS-BIK-FLO-XS",5,"shopify","deny","manual"
"the-lace-trim-bikini-bottoms-blue-floral","Size","M (8-10)","Color","Floral","TRIM-BOTTOMS-BIK-FLO-M",6,"shopify","deny","manual"
"the-lace-trim-bikini-bottoms-pink-floral","Size","XS (4-6)","Color","Floral","TRIM-BOTTOMS-BIK-FLO-XS-1",2,"shopify","deny","manual"
"the-lace-trim-bikini-bottoms-pink-floral","Size","XL (12-14)","Color","Floral","TRIM-BOTTOMS-BIK-FLO-XL-1",1,"shopify","deny","manual"
"the-lace-trim-tie-side-bikini-bottoms-black-white-floral","Size","XL (12-14)","Color","Floral","TRIM-TIE-BIK-FLO-XL",2,"shopify","deny","manual"
"the-lace-trim-tie-side-bikini-bottoms-blue-floral","Size","XL (12-14)","Color","Floral","TRIM-TIE-BIK-FLO-XL-1",2,"shopify","deny","manual"
"the-lace-trim-tie-side-bikini-bottoms-lemon-floral","Size","L (10-12)","Color","Floral","TRIM-TIE-BIK-FLO-L-2",9,"shopify","deny","manual"
"the-lace-trim-tie-side-bikini-bottoms-lemon-floral","Size","XL (12-14)","Color","Floral","TRIM-TIE-BIK-FLO-XL-2",2,"shopify","deny","manual"
"the-lace-trim-bikini-top-black-white-floral","Size","XS (4-6)","Color","Floral","TRIM-TRIANGLE-BIK-FLO-XS",1,"shopify","deny","manual"
"the-lace-trim-bikini-top-lemon-floral","Size","XS (4-6)","Color","Floral","TRIM-TRIANGLE-BIK-FLO-XS-1",1,"shopify","deny","manual"
"the-mesh-maxi-skirt-mauve","Size","6","Color","Mauve","MESH-MAXI-SKT-MAU-6",2,"shopify","deny","manual"
"the-sequin-cowl-top-cream","Size","XS (4-6)","Color","Cream","SEQUIN-COWL-TOP-CRE-XS",1,"shopify","deny","manual"
"the-sequin-mini-skirt-powder-blue","Size","XS (4-6)","Color","Blue","SEQUIN-MINI-SKT-BLU-XS",1,"shopify","deny","manual"
"the-strappy-mesh-maxi-blue-floral","Size","4","Color","Floral","STRAPPY-MESH-GEN-FLO-4",3,"shopify","deny","manual"
"the-strappy-mesh-maxi-blue-floral","Size","6","Color","Floral","STRAPPY-MESH-GEN-FLO-6",8,"shopify","deny","manual"
"the-strappy-mesh-maxi-blue-floral","Size","10","Color","Floral","STRAPPY-MESH-GEN-FLO-10",1,"shopify","deny","manual"
"the-strappy-mesh-maxi-blue-floral","Size","12","Color","Floral","STRAPPY-MESH-GEN-FLO-12",2,"shopify","deny","manual"
"the-strapy-mesh-maxi-pink-floral","Size","4","Color","Floral","STRAPPY-MESH-GEN-FLO-4-1",1,"shopify","deny","manual"
"the-strapy-mesh-maxi-pink-floral","Size","6","Color","Floral","STRAPPY-MESH-GEN-FLO-6-1",3,"shopify","deny","manual"
"the-tie-up-sarong-black-white-floral","Size","One size","Color","Floral","TIE-UP-GEN-FLO-ONESIZE",53,"shopify","deny","manual"
"the-tie-up-sarong-blue-floral","Size","One size","Color","Floral","TIE-UP-GEN-FLO-ONESIZE-1",127,"shopify","deny","manual"
"the-tie-up-sarong-lemon-floral","Size","One size","Color","Floral","TIE-UP-GEN-FLO-ONESIZE-2",81,"shopify","deny","manual"
"the-tie-up-sarong-pink-floral","Size","One size","Color","Floral","TIE-UP-GEN-FLO-ONESIZE-3",90,"shopify","deny","manual"
"the-underwire-lace-trim-bikini-top-blue-floral","Size","XL (12-14)","Color","Floral","UNDERWIRE-TRIM-BIK-FLO-XL",3,"shopify","deny","manual"
"the-lace-maxi-skirt-white-floral","Size","4","Color","Floral","MAXI-SKT-FLO-4-1",22,"shopify","deny","manual"
"the-lace-maxi-skirt-white-floral","Size","6","Color","Floral","MAXI-SKT-FLO-6-1",25,"shopify","deny","manual"
"the-lace-maxi-skirt-white-floral","Size","8","Color","Floral","MAXI-SKT-FLO-8-1",4,"shopify","deny","manual"
"the-lace-maxi-skirt-white-floral","Size","10","Color","Floral","MAXI-SKT-FLO-10-1",7,"shopify","deny","manual"
"the-lace-maxi-skirt-white-floral","Size","12","Color","Floral","MAXI-SKT-FLO-12-1",8,"shopify","deny","manual"
"the-lace-maxi-skirt-white-floral","Size","14","Color","Floral","MAXI-SKT-FLO-14-1",7,"shopify","deny","manual"
"the-lace-maxi-skirt-white-floral","Size","16","Color","Floral","MAXI-SKT-FLO-16-1",8,"shopify","deny","manual"
"the-lace-maxi-skirt-black-floral","Size","4","Color","Floral","MAXI-SKT-FLO-4",22,"shopify","deny","manual"
"the-lace-maxi-skirt-black-floral","Size","6","Color","Floral","MAXI-SKT-FLO-6",35,"shopify","deny","manual"
"the-lace-maxi-skirt-black-floral","Size","8","Color","Floral","MAXI-SKT-FLO-8",28,"shopify","deny","manual"
"the-lace-maxi-skirt-black-floral","Size","10","Color","Floral","MAXI-SKT-FLO-10",37,"shopify","deny","manual"
"the-lace-maxi-skirt-black-floral","Size","12","Color","Floral","MAXI-SKT-FLO-12",11,"shopify","deny","manual"
"the-lace-maxi-skirt-black-floral","Size","14","Color","Floral","MAXI-SKT-FLO-14",9,"shopify","deny","manual"
"the-lace-maxi-skirt-black-floral","Size","16","Color","Floral","MAXI-SKT-FLO-16",12,"shopify","deny","manual"
"the-strapy-mesh-maxi-pink-floral","Size","4","Color","Floral","STRAPPY-MESH-GEN-FLO-4-1",1,"shopify","deny","manual"
"the-strapy-mesh-maxi-pink-floral","Size","6","Color","Floral","STRAPPY-MESH-GEN-FLO-6-1",3,"shopify","deny","manual"
"the-strappy-mesh-maxi-blue-floral","Size","4","Color","Floral","STRAPPY-MESH-GEN-FLO-4",3,"shopify","deny","manual"
"the-strappy-mesh-maxi-blue-floral","Size","6","Color","Floral","STRAPPY-MESH-GEN-FLO-6",8,"shopify","deny","manual"
"the-strappy-mesh-maxi-blue-floral","Size","10","Color","Floral","STRAPPY-MESH-GEN-FLO-10",1,"shopify","deny","manual"
"the-strappy-mesh-maxi-blue-floral","Size","12","Color","Floral","STRAPPY-MESH-GEN-FLO-12",2,"shopify","deny","manual"
