"Handle","Title","Size","Variant SKU","Variant ID"
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","6","COWL-MAXI-GEN-FLO-6",56604623962498
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","8","COWL-MAXI-GEN-FLO-8",56604623995266
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","10","COWL-MAXI-GEN-FLO-10",56604624028034
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","12","COWL-MAXI-GEN-FLO-12",56604624060802
"the-cowl-maxi-blue-floral","The cowl maxi - blue & purple floral","14","COWL-MAXI-GEN-FLO-14",56604624093570
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","4","COWL-MAXI-GEN-FLO-4-1",56604624126338
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","6","COWL-MAXI-GEN-FLO-6-1",56604624159106
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","8","COWL-MAXI-GEN-FLO-8-1",56604624191874
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","10","COWL-MAXI-GEN-FLO-10-1",56604624224642
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","12","COWL-MAXI-GEN-FLO-12-1",56604624257410
"the-cowl-maxi-yellow-floral","The cowl maxi - yellow & brown floral","14","COWL-MAXI-GEN-FLO-14-1",56604624290178
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","4","CROCHET-FOLDOVER-SRT-WHT-4",56604624454018
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","6","CROCHET-FOLDOVER-SRT-WHT-6",56604624486786
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","8","CROCHET-FOLDOVER-SRT-WHT-8",56604624519554
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","10","CROCHET-FOLDOVER-SRT-WHT-10",56604624552322
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","12","CROCHET-FOLDOVER-SRT-WHT-12",56604624585090
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","14","CROCHET-FOLDOVER-SRT-WHT-14",56604624617858
"the-crochet-foldover-shorts-black-white","The crochet foldover shorts - black & white","16","CROCHET-FOLDOVER-SRT-WHT-16",56604624650626
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - lemon sorbet","4","CROCHET-FOLDOVER-SRT-SOR-4",55082790224258
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - lemon sorbet","8","CROCHET-FOLDOVER-SRT-SOR-8",55082790289794
"the-crochet-foldover-shorts-lemon-sorbet","The crochet foldover shorts - lemon sorbet","10","CROCHET-FOLDOVER-SRT-SOR-10",55082790322562
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","6","CROCHET-FOLDOVER-SRT-MEL-6",55082747986306
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","8","CROCHET-FOLDOVER-SRT-MEL-8",55082748019074
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","10","CROCHET-FOLDOVER-SRT-MEL-10",55082748051842
"the-crochet-foldover-shorts-mocha-melt","The crochet foldover shorts - mocha melt","16","CROCHET-FOLDOVER-SRT-MEL-16",55082748150146
"the-crochet-foldover-shorts-strawberry-sorbet","The crochet foldover shorts - strawberry sorbet","4","CROCHET-FOLDOVER-SRT-SOR-4-1",55438001013122
