Handle,Size,Colour (lookup),Variant Inventory Qty,Variant SKU,Colour (import display),Title (import)
the-crochet-tan-bikini-top-cherry-blush,4,,19,CROCHET-TAN-BIK-BLU-4-1,Cherry Blush,The crochet tan bikini top
the-crochet-tan-bikini-top-cherry-blush,6,,29,CROCHET-TAN-BIK-BLU-6-1,Cherry Blush,The crochet tan bikini top
the-crochet-tan-bikini-top-cherry-blush,8,,28,CROCHET-TAN-BIK-BLU-8-1,Cherry Blush,The crochet tan bikini top
the-crochet-tan-bikini-top-cherry-blush,10,,19,CROCHET-TAN-BIK-BLU-10-1,Cherry Blush,The crochet tan bikini top
the-crochet-tan-bikini-top-cherry-blush,12,,9,CROCHET-TAN-BIK-BLU-12-1,Cherry Blush,The crochet tan bikini top
the-crochet-tan-bikini-top-cherry-blush,14,,5,CROCHET-TAN-BIK-BLU-14-1,Cherry Blush,The crochet tan bikini top
the-crochet-wide-band-bikini-bottoms-lemon-sorbet,6,,5,CROCHET-WIDE-BIK-SOR-6,Lemon Sorbet,The crochet wide band bikini bottoms
the-crochet-wide-band-bikini-bottoms-lemon-sorbet,8,,2,CROCHET-WIDE-BIK-SOR-8,Lemon Sorbet,The crochet wide band bikini bottoms
the-crochet-wide-band-bikini-bottoms-lemon-sorbet,14,,5,CROCHET-WIDE-BIK-SOR-14,Lemon Sorbet,The crochet wide band bikini bottoms
the-crochet-wide-band-bikini-bottoms-mocha-melt,4,,13,CROCHET-WIDE-BIK-MEL-4,Mocha Melt,The crochet wide band bikini bottoms
the-crochet-wide-band-bikini-bottoms-mocha-melt,6,,15,CROCHET-WIDE-BIK-MEL-6,Mocha Melt,The crochet wide band bikini bottoms
the-crochet-wide-band-bikini-bottoms-mocha-melt,8,,2,CROCHET-WIDE-BIK-MEL-8,Mocha Melt,The crochet wide band bikini bottoms
the-crochet-wide-band-bikini-bottoms-mocha-melt,10,,9,CROCHET-WIDE-BIK-MEL-10,Mocha Melt,The crochet wide band bikini bottoms
the-crochet-wide-band-bikini-bottoms-mocha-melt,14,,1,CROCHET-WIDE-BIK-MEL-14,Mocha Melt,The crochet wide band bikini bottoms
the-crochet-wide-band-bikini-bottoms-strawberry-sorbet,4,,4,CROCHET-WIDE-BIK-SOR-4-1,Strawberry Sorbet,The crochet wide band bikini bottoms
the-crochet-wide-band-bikini-bottoms-strawberry-sorbet,8,,1,CROCHET-WIDE-BIK-SOR-8-1,Strawberry Sorbet,The crochet wide band bikini bottoms
the-crochet-wide-band-bikini-bottoms-strawberry-sorbet,10,,6,CROCHET-WIDE-BIK-SOR-10-1,Strawberry Sorbet,The crochet wide band bikini bottoms
the-crochet-wide-band-bikini-bottoms-strawberry-sorbet,14,,6,CROCHET-WIDE-BIK-SOR-14-1,Strawberry Sorbet,The crochet wide band bikini bottoms
the-crochet-wide-band-bikini-top-lemon-sorbet,4,,2,CROCHET-WIDE-BIK-SOR-4-2,Lemon Sorbet,The crochet wide band bikini top
